p_do,p_po,t_do,t_po
the glorp yomped her the frob .,the glorp yomped the frob for her .,a zorp fazzed us a narp .,a zorp fazzed a narp to us .
a rath quilliged you a mome .,a rath quilliged a mome for you .,the vorpal strugged him the tove .,the vorpal strugged the tove to him .
the vlim yomped me the blicket .,the vlim yomped the blicket to me .,a boojum snickered you a dax .,a boojum snickered a dax for you .
the zorp glorked him the glorp .,the zorp glorked the glorp to him .,a slithy quilliged us a borogove .,a slithy quilliged a borogove for us .
the rath yomped us the kiki .,the rath yomped the kiki to us .,a manxome outgrabed her a blicket .,a manxome outgrabed a blicket for her .
a fep burbled him a dax .,a fep burbled a dax to him .,the snark strugged her the vlim .,the snark strugged the vlim for her .
the tumtum fazzed them the quib .,the tumtum fazzed the quib for them .,a fep strugged him a frabjous .,a fep strugged a frabjous to him .
the tulgey gorped us the quib .,the tulgey gorped the quib for us .,a tumtum galumphed her a zib .,a tumtum galumphed a zib to her .
the crunk galumphed her the quib .,the crunk galumphed the quib for her .,a kiki blemed us a jubjub .,a kiki blemed a jubjub to us .
a snark gimbled you a rath .,a snark gimbled a rath for you .,the zorp glorked us the dax .,the zorp glorked the dax to us .
a uffish pilked us a tulgey .,a uffish pilked a tulgey for us .,the frabjous gorped me the tumtum .,the frabjous gorped the tumtum to me .
the rath outgrabed her the glorp .,the rath outgrabed the glorp to her .,a zorp quilliged you a fep .,a zorp quilliged a fep for you .
a wug porked her a mome .,a wug porked a mome for her .,the frob galumphed them the zib .,the frob galumphed the zib to them .
the dril burbled us the narp .,the dril burbled the narp to us .,a boojum blemed her a quib .,a boojum blemed a quib for her .
a fep chortled them a zib .,a fep chortled a zib for them .,the wug galumphed her the frabjous .,the wug galumphed the frabjous to her .
the vlim fazzed him the zib .,the vlim fazzed the zib for him .,a tove porked me a kiki .,a tove porked a kiki to me .
the bandersnatch blemed you the dax .,the bandersnatch blemed the dax for you .,a wug pilked him a manxome .,a wug pilked a manxome to him .
the kiki quilliged him the frabjous .,the kiki quilliged the frabjous for him .,a bandersnatch strugged us a vlim .,a bandersnatch strugged a vlim to us .
a zib whiffled them a rath .,a zib whiffled a rath to them .,the glorp pilked him the dril .,the glorp pilked the dril for him .
the boojum gorped them the jubjub .,the boojum gorped the jubjub to them .,a fep snickered us a tulgey .,a fep snickered a tulgey for us .
the uffish burbled us the dax .,the uffish burbled the dax to us .,a zorp snickered her a boojum .,a zorp snickered a boojum for her .
a boojum snickered her a bouba .,a boojum snickered a bouba to her .,the tulgey blemed me the blicket .,the tulgey blemed the blicket for me .
a dril chortled her a zorp .,a dril chortled a zorp to her .,the fep yomped them the tumtum .,the fep yomped the tumtum for them .
the manxome quilliged me the blicket .,the manxome quilliged the blicket for me .,a bandersnatch chortled him a bouba .,a bandersnatch chortled a bouba to him .
a vlim snickered him a blicket .,a vlim snickered a blicket to him .,the tulgey gorped you the mome .,the tulgey gorped the mome for you .
the tulgey outgrabed you the bouba .,the tulgey outgrabed the bouba for you .,a vlim galumphed them a zorp .,a vlim galumphed a zorp to them .
the vlim gimbled her the rath .,the vlim gimbled the rath to her .,a frob pilked him a blicket .,a frob pilked a blicket for him .
a slithy whiffled you a blicket .,a slithy whiffled a blicket for you .,the glorp yomped her the dril .,the glorp yomped the dril to her .
a tove gorped me a dax .,a tove gorped a dax for me .,the jubjub outgrabed them the blicket .,the jubjub outgrabed the blicket to them .
the bandersnatch galumphed us the zib .,the bandersnatch galumphed the zib for us .,a kiki snickered him a boojum .,a kiki snickered a boojum to him .
the dax fazzed us the bandersnatch .,the dax fazzed the bandersnatch for us .,a rath porked me a bouba .,a rath porked a bouba to me .
the slithy whiffled them the narp .,the slithy whiffled the narp for them .,a mome pilked me a boojum .,a mome pilked a boojum to me .
the fep burbled me the bandersnatch .,the fep burbled the bandersnatch to me .,a zib fazzed them a blicket .,a zib fazzed a blicket for them .
the snark porked her the boojum .,the snark porked the boojum to her .,a frob glorked them a vorpal .,a frob glorked a vorpal for them .
the bouba outgrabed her the borogove .,the bouba outgrabed the borogove to her .,a dax crinked him a bandersnatch .,a dax crinked a bandersnatch for him .
a frob whiffled me a uffish .,a frob whiffled a uffish for me .,the mome quilliged her the bandersnatch .,the mome quilliged the bandersnatch to her .
a vlim fazzed her a bandersnatch .,a vlim fazzed a bandersnatch for her .,the fep pilked him the jubjub .,the fep pilked the jubjub to him .
the dax snickered us the glorp .,the dax snickered the glorp to us .,a zib strugged her a slithy .,a zib strugged a slithy for her .
a blicket galumphed them a frabjous .,a blicket galumphed a frabjous to them .,the vlim snickered you the dax .,the vlim snickered the dax for you .
a rath outgrabed you a bandersnatch .,a rath outgrabed a bandersnatch for you .,the uffish galumphed me the fep .,the uffish galumphed the fep to me .
the borogove porked him the frabjous .,the borogove porked the frabjous for him .,a rath galumphed her a slithy .,a rath galumphed a slithy to her .
the dril porked him the manxome .,the dril porked the manxome for him .,a blicket snickered us a rath .,a blicket snickered a rath to us .
the rath snickered them the uffish .,the rath snickered the uffish to them .,a zib gimbled me a fep .,a zib gimbled a fep for me .
the frob gorped him the mome .,the frob gorped the mome for him .,a vorpal gimbled her a kiki .,a vorpal gimbled a kiki to her .
a mome quilliged them a zib .,a mome quilliged a zib for them .,the manxome porked you the zorp .,the manxome porked the zorp to you .
the borogove glorked them the rath .,the borogove glorked the rath to them .,a zorp chortled her a zib .,a zorp chortled a zib for her .
the crunk burbled us the bouba .,the crunk burbled the bouba to us .,a glorp porked them a manxome .,a glorp porked a manxome for them .
a borogove galumphed her a slithy .,a borogove galumphed a slithy for her .,the dax gimbled you the fep .,the dax gimbled the fep to you .
a frabjous yomped you a manxome .,a frabjous yomped a manxome to you .,the rath pilked them the narp .,the rath pilked the narp for them .
a vorpal pilked him a tumtum .,a vorpal pilked a tumtum for him .,the fep crinked you the manxome .,the fep crinked the manxome to you .
a fep glorked you a frabjous .,a fep glorked a frabjous to you .,the vlim pilked her the glorp .,the vlim pilked the glorp for her .
a manxome whiffled us a zib .,a manxome whiffled a zib to us .,the crunk pilked him the zorp .,the crunk pilked the zorp for him .
a jubjub burbled them a zib .,a jubjub burbled a zib to them .,the crunk strugged me the frob .,the crunk strugged the frob for me .
the uffish glorked her the zorp .,the uffish glorked the zorp to her .,a manxome galumphed you a glorp .,a manxome galumphed a glorp for you .
a wug blemed him a glorp .,a wug blemed a glorp to him .,the tove glorked them the kiki .,the tove glorked the kiki for them .
a zib snickered me a wug .,a zib snickered a wug for me .,the frabjous galumphed them the dril .,the frabjous galumphed the dril to them .
the dax gorped them the crunk .,the dax gorped the crunk for them .,a vorpal quilliged me a rath .,a vorpal quilliged a rath to me .
the vlim porked you the jubjub .,the vlim porked the jubjub to you .,a tumtum gorped her a bouba .,a tumtum gorped a bouba for her .
the fep yomped you the wug .,the fep yomped the wug for you .,a jubjub whiffled us a tove .,a jubjub whiffled a tove to us .
a tumtum chortled you a quib .,a tumtum chortled a quib for you .,the bouba yomped her the blicket .,the bouba yomped the blicket to her .
a manxome outgrabed him a glorp .,a manxome outgrabed a glorp for him .,the bandersnatch galumphed us the tumtum .,the bandersnatch galumphed the tumtum to us .
a vlim outgrabed me a narp .,a vlim outgrabed a narp to me .,the frabjous quilliged her the tumtum .,the frabjous quilliged the tumtum for her .
a bandersnatch galumphed them a zorp .,a bandersnatch galumphed a zorp for them .,the borogove porked her the manxome .,the borogove porked the manxome to her .
a bandersnatch glorked him a blicket .,a bandersnatch glorked a blicket for him .,the vorpal crinked her the fep .,the vorpal crinked the fep to her .
a mome burbled us a borogove .,a mome burbled a borogove to us .,the snark galumphed him the vlim .,the snark galumphed the vlim for him .
a wug burbled her a quib .,a wug burbled a quib to her .,the jubjub gimbled them the vorpal .,the jubjub gimbled the vorpal for them .
the bouba yomped us the rath .,the bouba yomped the rath to us .,a manxome crinked you a mome .,a manxome crinked a mome for you .
a uffish porked you a frob .,a uffish porked a frob to you .,the vlim blemed me the tove .,the vlim blemed the tove for me .
a snark crinked him a quib .,a snark crinked a quib to him .,the zorp yomped you the glorp .,the zorp yomped the glorp for you .
the mome fazzed them the wug .,the mome fazzed the wug for them .,a frabjous snickered you a dril .,a frabjous snickered a dril to you .
a rath galumphed her a boojum .,a rath galumphed a boojum for her .,the frob chortled us the tulgey .,the frob chortled the tulgey to us .
the quib outgrabed me the mome .,the quib outgrabed the mome for me .,a crunk glorked you a vorpal .,a crunk glorked a vorpal to you .
the vlim quilliged her the fep .,the vlim quilliged the fep to her .,a mome burbled us a bandersnatch .,a mome burbled a bandersnatch for us .
a frob gimbled him a zib .,a frob gimbled a zib to him .,the dax blemed her the bandersnatch .,the dax blemed the bandersnatch for her .
the zorp gimbled her the mome .,the zorp gimbled the mome to her .,a tove quilliged us a glorp .,a tove quilliged a glorp for us .
a dax porked them a tulgey .,a dax porked a tulgey to them .,the vlim crinked you the glorp .,the vlim crinked the glorp for you .
the borogove pilked me the blicket .,the borogove pilked the blicket to me .,a frabjous chortled her a bandersnatch .,a frabjous chortled a bandersnatch for her .
a bouba glorked them a jubjub .,a bouba glorked a jubjub to them .,the dril fazzed us the zib .,the dril fazzed the zib for us .
a zorp porked her a zib .,a zorp porked a zib for her .,the dax glorked them the kiki .,the dax glorked the kiki to them .
a frob blemed him a blicket .,a frob blemed a blicket for him .,the borogove crinked me the slithy .,the borogove crinked the slithy to me .
a glorp fazzed him a dax .,a glorp fazzed a dax for him .,the vlim strugged them the frob .,the vlim strugged the frob to them .
the dax gorped them the vlim .,the dax gorped the vlim for them .,a dril chortled him a tulgey .,a dril chortled a tulgey to him .
the boojum blemed them the vorpal .,the boojum blemed the vorpal for them .,a uffish glorked him a kiki .,a uffish glorked a kiki to him .
a mome glorked them a bandersnatch .,a mome glorked a bandersnatch for them .,the vorpal strugged him the manxome .,the vorpal strugged the manxome to him .
the narp outgrabed her the bandersnatch .,the narp outgrabed the bandersnatch for her .,a zib crinked me a wug .,a zib crinked a wug to me .
the vorpal glorked him the tulgey .,the vorpal glorked the tulgey for him .,a dax yomped them a tove .,a dax yomped a tove to them .
the vorpal chortled her the tove .,the vorpal chortled the tove for her .,a boojum quilliged us a dax .,a boojum quilliged a dax to us .
